timestamp,symbol,side,filled_qty,fill_price,fee,slippage_bps,market_impact_bps,latency_ms,parent_id,order_id
2026-03-17 09:00:00,068270,SELL,48,205362.1825286073,19221.900284677646,18.848965802803672,6.698297516047901,1.4264732973513936,0159a299-4364-4f03-b770-d313f64b64a2,abcc192f-0eee-480f-a0b7-807454f47fbe
2026-03-17 09:00:40,068270,BUY,59,205536.43235356058,1818.9974263290112,13.955291281879656,1.7750233159844064,1.4811597810823702,d21ff9bb-279a-4878-8190-ce871a149c70,002e8f98-f296-4275-9457-7577006658e2
2026-03-17 09:00:45,068270,BUY,37,205521.71895555683,1140.6455402033403,13.238438760381628,1.05817079448638,1.413015491492213,d21ff9bb-279a-4878-8190-ce871a149c70,002e8f98-f296-4275-9457-7577006658e2
2026-03-17 09:13:25,068270,SELL,96,204963.93454625324,38369.24854705861,62.35468866650975,1.7571475637887224,1.550718573606767,93c35462-1655-4198-a2d9-307011ffbe2b,3e54e1cc-46d2-4c14-b4d8-911f2c4e0a97
2026-03-17 09:25:50,068270,BUY,96,204536.6902436286,2945.3283395082517,-10.418058919237918,1.7963399573367753,1.560904134311582,d7781686-a0ec-4adc-9638-e729c1f2bec2,5dc4b74a-8386-48b3-b8bf-178625a7af58
2026-03-17 09:39:10,068270,SELL,96,204467.5889588761,38276.33265310161,-10.653070202011802,1.5829568314485443,1.5837202047628167,590b6c30-989a-4bf9-a226-e87c7c9fa7eb,38b26122-76d7-4ce7-b6e6-071c07b54a24
2026-03-17 10:01:45,068270,BUY,96,205030.90080176073,2952.4449715453543,13.719208877202764,1.5091966671905546,1.3449668926056824,3a27b5ae-a457-4bf5-a0c9-6435624d40c1,1abda7f3-67c0-4c07-ba69-bef2be3dc67a
2026-03-17 10:15:30,068270,SELL,96,204971.6578924657,38370.69435746958,-10.825782293807464,1.3808578579435884,1.4361021636482245,1ed6d48a-0edb-4b33-8846-c8809878821d,de9b8e3b-849c-43cc-bc90-b1cbd52b1498
2026-03-17 11:19:55,068270,BUY,96,205025.58841907934,2952.368473234743,-10.933572761055103,1.2497396375747996,1.6162626513656426,928ef178-e641-477d-a343-51ae3c27d1cc,f2cecd29-d9e7-40d8-b4bb-1a2940225acf
2026-03-17 11:20:30,068270,SELL,96,204974.70700743233,38371.26515179133,13.412569674429848,1.2323017085345982,1.434475987796695,fcee8330-ef38-499b-a38f-ba86fe5f7b07,54c10439-c38d-48c0-93c5-a62927082560
2026-03-17 11:58:15,068270,BUY,96,205524.53553817802,2959.5533117497635,13.375665684678422,1.1953977187831708,1.3634581686079084,453edfb6-8d98-4405-8f00-85a7202b51f8,bb14ce39-23a2-4e03-acdd-61b072d34b47
2026-03-17 11:59:30,068270,SELL,96,204976.38061445885,38371.5784510267,13.331029746219476,1.1507617803242276,1.5612504508906202,ef1fe479-0793-444f-a025-4913b8990e98,0fe91bee-57af-4276-a68e-79fe007bca9d
2026-03-17 12:42:15,068270,BUY,32,205508.05701738244,986.4386736834357,12.572814488791137,0.3925465228958861,1.4688442653014004,83466893-5995-4c34-86ac-7a9fc81d3047,4e05dd72-104e-4165-a185-2d8fad1e6274
2026-03-17 12:42:20,068270,BUY,41,205510.3287551857,1263.8885218443918,12.683495989559393,0.5032280236641433,1.4568279362268468,83466893-5995-4c34-86ac-7a9fc81d3047,4e05dd72-104e-4165-a185-2d8fad1e6274
2026-03-17 12:42:25,068270,BUY,23,205505.76819686955,708.9949002792,12.461300700100084,0.28103273420483466,1.5523549988402143,83466893-5995-4c34-86ac-7a9fc81d3047,4e05dd72-104e-4165-a185-2d8fad1e6274
2026-03-17 12:46:35,068270,SELL,96,205474.98290143628,38464.91679914887,13.366566151335274,1.2158978645795024,1.6045921565827759,5ba08132-e554-4840-ad4b-eb9e76120425,0f6aa9f9-3611-4a0a-9b10-6295e4392c94
2026-03-17 12:53:30,068270,BUY,4,206501.26541505614,123.90075924903368,12.182565578479657,0.061353457267537256,1.5091010439189243,0074b6b6-0a0a-458a-947f-a76f47d0476a,ad947e6f-18e2-4d59-a1c8-3b3077af2f2d
2026-03-17 12:53:35,068270,BUY,92,206528.99824253077,2850.1001757469244,13.527187516643298,1.4059753954311778,1.5619311792120674,0074b6b6-0a0a-458a-947f-a76f47d0476a,ad947e6f-18e2-4d59-a1c8-3b3077af2f2d
2026-03-17 12:56:20,068270,SELL,96,205970.7291112294,38557.72048962214,13.540406728272016,1.4191946070598944,1.210586144088388,38b4ec66-eb28-4c94-bca1-80d6e716c6b7,d37e9cbb-88dd-4558-819a-20640333ccb4
2026-03-17 13:14:25,068270,BUY,96,206527.0802560315,2973.989955686854,13.434194231830594,1.3129821106184725,1.6299127042904984,ceb094be-a344-497c-b7ca-09e73d9f9d75,89255281-4f6a-45e1-bec5-c7fe606c313b
2026-03-17 13:33:40,068270,SELL,96,206968.6118604761,38744.52414028113,-10.573729648179642,1.5145061290174142,1.5784471819173405,daf38c94-285a-495c-9fb4-a8de635fc2e2,a0f2f641-fa58-4c4a-b976-f9eba0ab4cf7
2026-03-17 14:00:15,068270,BUY,95,207532.6540343312,2957.3403199892196,13.638312874847195,1.5755866987313918,1.287475829688562,83bc91c1-33ff-4cb1-8125-8eb0e8bd59f4,168a9aa7-5f31-44b5-b7c0-fd80f31c4998
2026-03-17 14:24:50,068270,SELL,94,206966.91433714886,37937.03539799938,13.65913934143012,1.5964131653143163,1.4388016894798537,043114d0-f5b1-4dd8-b7cd-65d1de433c15,ab1c52e0-8611-45a3-a651-8916d7d9e615
