n_fills,n_states,total_realized_pnl,total_unrealized_pnl,net_pnl,total_commission,total_slippage,total_impact,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_duration,annualized_vol,var_95,expected_shortfall_95,fill_rate,cancel_rate,is_bps,vwap_diff_bps,avg_slippage_bps,avg_market_impact_bps,timing_score,partial_fill_rate,maker_fill_ratio,avg_latency_ms,annualized_turnover,avg_holding_period,iqm_return,alpha_contribution,execution_contribution,cost_contribution,timing_contribution,alpha_fraction,symbol,latency_ms
161.0,20861.0,-550199.5055919824,27066.900184539612,-2781443.292876639,2258310.687469196,777499.055802814,126487.54021280287,-10.269478078065964,-10.727158572304205,-4373563.451971277,0.9999996480358933,159.0,425879.667826078,76293.54302519288,83258.60529598771,1.0,0.9833076167765465,2.4937100602245286,9.558280715578446,1.6180774242693994,0.4287235356080898,0.4968944099378882,0.00042081638378454203,0.0,0.0,34.3629117537225,10421.5,2.856235236620562,0.0,3256223.980611738,-3035809.7432720102,-790866.6606056878,-0.0,005930,0.0
161.0,20861.0,-550199.5055919824,27066.900184539612,-2781443.292876639,2258310.687469196,777499.055802814,126487.54021280287,-10.269478078065964,-10.727158572304205,-4373563.451971277,0.9999996480358933,159.0,425879.667826078,76293.54302519288,83258.60529598771,1.0,0.9833076167765465,2.4937100602245286,9.558280715578446,1.6180774242693994,0.4287235356080898,0.4968944099378882,0.00042081638378454203,0.0,100.05178298047541,34.3629117537225,10421.5,2.856235236620562,0.0,3256223.980611738,-3035809.7432720102,-790866.6606056878,-0.0,005930,100.0
84.0,20861.0,-235898.35151066387,-16072.379399064579,-1719469.7069196822,1467498.9760099538,1328547.7758159526,114021.39249717037,-10.249568501455153,-13.075236823512254,-5198794.252048745,0.9999994281667494,80.0,507220.5018647609,66644.00996486268,89712.46583396949,0.987146529562982,0.994159053467126,1.6252052276266156,46.95715244680569,2.0039376987404873,0.7501416161736089,0.5476190476190477,0.0001497678598172832,0.0,0.0,42.67374779930653,20861.0,2.29491462070492,0.0,2706494.023614481,-2796046.7518259063,-156691.3925083076,-0.0,000660,0.0
84.0,20861.0,-235898.35151066387,-16072.379399064579,-1719469.7069196822,1467498.9760099538,1328547.7758159526,114021.39249717037,-10.249568501455153,-13.075236823512254,-5198794.252048745,0.9999994281667494,80.0,507220.5018647609,66644.00996486268,89712.46583396949,0.987146529562982,0.994159053467126,1.6252052276266156,46.95715244680569,2.0039376987404873,0.7501416161736089,0.5476190476190477,0.0001497678598172832,0.0,99.92397028238673,42.67374779930653,20861.0,2.29491462070492,0.0,2706494.023614481,-2796046.7518259063,-156691.3925083076,-0.0,000660,100.0
