,cumulative_net_pnl
2026-03-17 09:00:05,-48101.543019802004
2026-03-17 09:00:20,-49375.84026198
2026-03-17 09:00:20,-50637.26621702929
2026-03-17 09:00:20,-51492.608810526355
2026-03-17 09:03:40,-121187.79959348531
2026-03-17 09:03:45,4029621.4388788096
2026-03-17 09:28:55,4014348.2508775624
2026-03-17 09:29:00,3975519.058090459
2026-03-17 09:31:50,3850229.6291857245
2026-03-17 09:39:55,3802432.9356347895
2026-03-17 09:50:25,3689227.2763976916
2026-03-17 09:50:30,3669589.206849926
2026-03-17 09:52:55,3661739.8886707085
2026-03-17 09:53:00,3648426.788214078
2026-03-17 09:53:05,3629919.235350267
2026-03-17 09:53:10,3599466.496429892
2026-03-17 09:53:15,3569774.6012739427
2026-03-17 10:00:15,3454384.8533785227
2026-03-17 10:00:20,3450300.421503532
2026-03-17 10:06:25,3388905.8884395123
2026-03-17 10:06:25,3269038.2182820365
2026-03-17 10:06:25,3090697.4110311046
2026-03-17 10:06:25,2853883.4666867172
2026-03-17 10:06:25,2558596.385248874
2026-03-17 10:07:05,2332671.368717291
2026-03-17 10:07:05,2126956.057825892
2026-03-17 10:07:05,1941450.452574677
2026-03-17 10:07:05,1762681.41587019
2026-03-17 10:07:05,30797872.084805887
2026-03-17 10:09:10,30794987.09833511
2026-03-17 10:09:10,30789508.776893802
2026-03-17 10:09:10,30781437.120481964
2026-03-17 10:09:10,30770772.129099596
2026-03-17 10:09:10,30757513.8027467
2026-03-17 10:09:15,30743349.41746201
2026-03-17 10:09:15,30728116.931960315
2026-03-17 10:09:15,30711816.346241616
2026-03-17 10:09:15,30694447.66030591
2026-03-17 10:09:20,30650358.76046717
2026-03-17 10:09:20,30581139.01863667
2026-03-17 10:09:20,30486788.434814405
2026-03-17 10:09:25,30381840.72927342
2026-03-17 10:09:25,30265549.49641652
2026-03-17 10:10:25,29994386.978039496
2026-03-17 10:10:25,29708512.86685217
2026-03-17 10:10:25,29407927.162854545
2026-03-17 10:10:25,29092629.86604661
2026-03-17 10:10:25,28762620.976428375
2026-03-17 10:16:25,28620255.09433846
2026-03-17 10:16:25,28489182.91944539
2026-03-17 10:16:25,28370429.21720168
2026-03-17 10:16:40,28145653.217864137
2026-03-17 10:16:40,27918951.69431291
2026-03-17 10:19:20,27849146.192441914
2026-03-17 10:19:20,27780818.39901226
2026-03-17 10:19:20,27713970.78375328
2026-03-17 10:19:20,27648605.988700997
2026-03-17 10:19:20,27584726.844608292
