timestamp,symbol,realized_pnl,unrealized_pnl,total_pnl,commission_cost,tax_cost,slippage_cost,impact_cost,spread_cost,total_cost,gross_pnl,net_pnl
2026-03-17 09:00:10,051910,9972957.20766129,0.0,9972957.20766129,19447.266554939513,0.0,9533.669885855576,6032.030569150284,0.0,35012.96700994537,9972957.20766129,9953509.941106351
2026-03-17 09:01:30,051910,0.0,-257.04935125116026,-257.04935125116026,45.67605740268767,0.0,242.7569653436634,7.055306982190178,0.0,295.48832972854126,-257.04935125116026,-302.7254086538479
2026-03-17 09:04:45,051910,0.0,-45085.75449945696,-45085.75449945696,2966.524305772231,0.0,48949.56090887276,32909.959363740396,0.0,84826.0445783854,-45085.75449945696,-48052.278805229194
2026-03-17 09:05:20,051910,-140308.9591039726,-6774.5079691973515,-147083.46707316994,36475.24196048125,0.0,36924.67808021903,21704.781996064197,0.0,95104.70203676449,-147083.46707316994,-183558.7090336512
2026-03-17 09:05:25,051910,-7592.546195720555,-2193.626992299338,-9786.173188019893,1792.920283748298,0.0,2297.9430756955812,53.65374242507335,0.0,4144.5171018689525,-9786.173188019893,-11579.093471768192
2026-03-17 09:06:05,051910,0.0,-36972.971675883164,-36972.971675883164,2964.6419017025373,0.0,4280.271444257961,20316.637938639222,0.0,27561.551284599722,-36972.971675883164,-39937.613577585704
2026-03-17 09:07:00,051910,-5203.20030285418,431.185051140259,-4772.015251713921,38530.57496235636,0.0,31318.773690348924,16703.120189324312,0.0,86552.4688420296,-4772.015251713921,-43302.59021407028
2026-03-17 09:07:15,051910,0.0,-34960.85414053057,-34960.85414053057,2974.1088058787504,0.0,35455.32720895774,19426.716021252265,0.0,57856.15203608875,-34960.85414053057,-37934.96294640932
2026-03-17 09:09:35,051910,-4347.2137495055795,462.1407055302989,-3885.0730439752806,38653.04402877698,0.0,33868.172584221706,17895.51032724244,0.0,90416.72694024112,-3885.0730439752806,-42538.11707275226
2026-03-17 09:12:40,051910,0.0,208.1793929664418,208.1793929664418,46.57559419688458,0.0,245.84388442499153,3.9645551751002315,0.0,296.3840337969764,208.1793929664418,161.60379876955722
2026-03-17 09:12:40,051910,-157.44227503071306,104.0896964832209,-53.35257854749216,604.4922754405004,0.0,253.75342747673653,3.958069952613896,0.0,862.2037728698508,-53.35257854749216,-657.8448539879926
2026-03-17 09:27:00,051910,0.0,-649.5488563184626,-649.5488563184626,46.50054578292024,0.0,744.5688312374284,3.6415322278300075,0.0,794.7109092481786,-649.5488563184626,-696.0494021013828
2026-03-17 09:27:00,051910,-757.4384854843956,-324.7744281592313,-1082.212913643627,603.5179048220368,0.0,253.4308610648463,3.6355733754206674,0.0,860.5843392623038,-1082.212913643627,-1685.7308184656638
2026-03-17 09:27:15,051910,0.0,-78.07566246436909,-78.07566246436909,46.57549518514578,0.0,246.50291603753828,3.3039295726391247,0.0,296.38234079532316,-78.07566246436909,-124.65115764951487
2026-03-17 09:27:15,051910,-256.77112785860663,-39.037831232184544,-295.8089590907912,604.4935625931048,0.0,253.09442845410643,3.2985390377528283,0.0,860.8865300849641,-295.8089590907912,-900.302521683896
2026-03-17 09:31:25,051910,0.0,-5114.97959351819,-5114.97959351819,322.92389126434296,0.0,4912.821370825616,326.25636701291603,0.0,5562.001629102875,-5114.97959351819,-5437.903484782533
2026-03-17 09:31:30,051910,0.0,-11752.600379430922,-11752.600379430922,830.570643117887,0.0,11339.111004407663,2140.1863254052823,0.0,14309.867972930833,-11752.600379430922,-12583.17102254881
2026-03-17 09:31:55,051910,0.0,-30320.095662448148,-30320.095662448148,1800.1976242924527,0.0,20397.77705678125,8831.158156906242,0.0,31029.132837979945,-30320.095662448148,-32120.2932867406
2026-03-17 10:00:15,051910,-158781.7380485325,-56362.79719363869,-215144.5352421712,27292.838026315785,0.0,22137.73669111606,10655.926032393787,0.0,60086.50074982563,-215144.5352421712,-242437.373268487
