timestamp,symbol,realized_pnl,unrealized_pnl,total_pnl,commission_cost,tax_cost,slippage_cost,impact_cost,spread_cost,total_cost,gross_pnl,net_pnl
2026-03-17 09:00:10,005380,0.0,-9878.8050185116,-9878.8050185116,1425.7318207527767,0.0,8114.2619626796795,879.7193464133559,0.0,10419.713129845812,-9878.8050185116,-11304.536839264378
2026-03-17 09:01:30,005380,-39105.2150045,0.0,-39105.2150045,36992.77217031342,0.0,19327.893023402154,1346.2319854566342,0.0,57666.897179172214,-39105.2150045,-76097.98717481343
2026-03-17 09:22:40,005380,0.0,-19116.60987387132,-19116.60987387132,2883.7674914810805,0.0,19135.637509665852,1117.7212867287653,0.0,23137.126287875697,-19116.60987387132,-22000.3773653524
2026-03-17 09:29:00,005380,142018.5121317543,0.0,142018.5121317543,37765.91348791097,0.0,18846.520229918446,864.0363654749658,0.0,57476.47008330438,142018.5121317543,104252.59864384335
2026-03-17 09:37:20,005380,0.0,-18761.92688699998,-18761.92688699998,2899.9142890330495,0.0,17222.716463664146,762.6670349003177,0.0,20885.297787597512,-18761.92688699998,-21661.841176033027
2026-03-17 09:41:50,005380,-1486.4876883239485,0.0,-1486.4876883239485,37695.98710643742,0.0,18706.441464000844,723.8596600950984,0.0,57126.28823053336,-1486.4876883239485,-39182.474794761365
2026-03-17 09:44:30,005380,0.0,-18691.70462360233,-18691.70462360233,2894.5037556935404,0.0,17292.784498856166,692.3752916441999,0.0,20879.663546193904,-18691.70462360233,-21586.208379295873
2026-03-17 09:45:35,005380,-1366.4426097851247,0.0,-1366.4426097851247,37625.88426092694,0.0,17340.83233770181,674.0855809274719,0.0,55640.80217955622,-1366.4426097851247,-38992.326870712066
2026-03-17 09:45:50,005380,0.0,-18701.53547565546,-18701.53547565546,2894.5052303213483,0.0,17282.971261690505,702.2160333162848,0.0,20879.69252532814,-18701.53547565546,-21596.040705976808
2026-03-17 09:49:35,005380,-37362.13057550602,0.0,-37362.13057550602,37555.71183955528,0.0,18642.532136395814,659.9556612322749,0.0,56858.199637183374,-37362.13057550602,-74917.8424150613
2026-03-17 09:54:50,005380,0.0,-18850.330832071602,-18850.330832071602,2878.3275496248107,0.0,53002.860762738695,851.1669832192946,0.0,56732.3552955828,-18850.330832071602,-21728.658381696412
2026-03-17 09:59:35,005380,34423.15233992273,0.0,34423.15233992273,37485.38329218539,0.0,18708.29198482359,725.8097741856138,0.0,56919.48505119459,34423.15233992273,-3062.23095226266
2026-03-17 10:02:35,005380,0.0,-18888.449781375937,-18888.449781375937,2872.933267467207,0.0,17096.27608451428,889.3268295142666,0.0,20858.536181495754,-18888.449781375937,-21761.383048843145
2026-03-17 10:07:55,005380,-37707.9417806603,0.0,-37707.9417806603,37274.601990601404,0.0,18800.981845677637,818.6859773796915,0.0,56894.26981365873,-37707.9417806603,-74982.5437712617
2026-03-17 10:10:15,005380,0.0,-18957.181314774323,-18957.181314774323,2862.143577197216,0.0,17027.609884893838,958.1332327123828,0.0,20847.886694803437,-18957.181314774323,-21819.32489197154
2026-03-17 10:13:35,005380,106304.0000837557,0.0,106304.0000837557,37415.15930372714,0.0,18720.53560019023,738.0977544558991,0.0,56873.79265837326,106304.0000837557,68888.84078002856
2026-03-17 10:20:15,005380,0.0,-18855.26696245931,-18855.26696245931,2862.1282900443694,0.0,17129.34179914251,856.1129537981706,0.0,20847.583042985047,-18855.26696245931,-21717.39525250368
2026-03-17 10:34:25,005380,34378.444977555424,0.0,34378.444977555424,37274.705738283024,0.0,53382.37567345889,765.5364982380815,0.0,91422.61790997999,34378.444977555424,-2896.2607607276004
2026-03-17 10:45:15,005380,0.0,-18825.16503733769,-18825.16503733769,2862.123774755601,0.0,17159.389630376485,825.9799501490916,0.0,20847.493355281178,-18825.16503733769,-21687.28881209329
2026-03-17 10:56:15,005380,70499.20717862947,0.0,70499.20717862947,37345.08252582114,0.0,53473.2615589469,674.9695799110276,0.0,91493.31366467907,70499.20717862947,33154.12465280833
2026-03-17 11:11:20,005380,0.0,-18756.253512744326,-18756.253512744326,2862.113438026912,0.0,17228.17696202179,756.997636267825,0.0,20847.288036316524,-18756.253512744326,-21618.366950771237
2026-03-17 11:32:00,005380,34629.95264636446,0.0,34629.95264636446,37275.00310201026,0.0,17402.034003103287,613.1967345875074,0.0,55290.23383970105,34629.95264636446,-2645.0504556458036
2026-03-17 11:46:40,005380,0.0,-14907.842681046342,-14907.842681046342,2314.2611764021567,0.0,14922.2614550693,408.23714398646996,0.0,17644.759775457926,-14907.842681046342,-17222.1038574485
2026-03-17 11:47:40,005380,0.0,-18431.398029580247,-18431.398029580247,558.6035333022801,0.0,3526.892384495482,23.57765698039801,0.0,4109.07357477816,-18431.398029580247,-18990.001562882528
2026-03-17 14:32:30,005380,-73031.09971739771,0.0,-73031.09971739771,37204.83058170876,0.0,18581.58728301718,599.1176333355744,0.0,56385.535498061516,-73031.09971739771,-110235.93029910646
2026-03-17 14:42:10,005380,0.0,-18639.642887162045,-18639.642887162045,2856.695946433074,0.0,17344.54649490252,640.269540951176,0.0,20841.511982286767,-18639.642887162045,-21496.338833595117
2026-03-17 15:20:15,005380,-121196.95121590002,0.0,-121196.95121590002,36900.71324875896,0.0,66324.03422173604,12525.168907891592,0.0,115749.9163783866,-121196.95121590002,-158097.66446465897
2026-03-17 15:20:20,005380,0.0,-60994.26172953122,-60994.26172953122,2914.5741392594296,0.0,61186.33173463876,5511.563076387961,0.0,69612.46895028616,-60994.26172953122,-63908.83586879065
2026-03-17 15:29:00,005380,-160519.17240208737,0.0,-160519.17240208737,38600.49098663102,0.0,16136.726622224769,2873.2417729163153,0.0,57610.4593817721,-160519.17240208737,-199119.66338871839
2026-03-17 15:29:00,005380,0.0,-21876.417112298543,-21876.417112298543,2975.831462566845,0.0,21900.56696473187,2879.59245168077,0.0,27755.990878979486,-21876.417112298543,-24852.24857486539
