timestamp,symbol,realized_pnl,unrealized_pnl,total_pnl,commission_cost,tax_cost,slippage_cost,impact_cost,spread_cost,total_cost,gross_pnl,net_pnl
2026-03-13 10:13:00,005930,0.0,-3048.7486769370153,-3048.7486769370153,1483.1623123015406,0.0,2350.6923415780448,348.85624186740216,0.0,4182.710895746987,-3048.7486769370153,-4531.910989238556
2026-03-13 10:14:50,005930,-2212.8344325253274,0.0,-2212.8344325253274,38557.90509269663,0.0,3885.4262528616728,1514.8073030834742,0.0,43958.138648641776,-2212.8344325253274,-40770.73952522196
2026-03-13 10:14:50,005930,19773284.66292135,0.0,19773284.66292135,38557.90509269663,0.0,3885.4262528616728,1514.8073030834742,0.0,43958.138648641776,19773284.66292135,19734726.757828653
2026-03-13 10:15:20,005930,0.0,-6903.435520648258,-6903.435520648258,2968.0655153280973,0.0,6905.844870502543,1503.9602307207672,0.0,11377.870616551409,-6903.435520648258,-9871.501035976355
2026-03-13 10:23:40,005930,0.0,52972.89026747664,52972.89026747664,2178.1760511317802,0.0,2975.71587187243,974.0044662141347,0.0,6127.896389218345,52972.89026747664,50794.714216344866
2026-03-13 10:23:40,005930,0.0,48049.21605560032,48049.21605560032,2178.1760511317802,0.0,2975.71587187243,974.0044662141347,0.0,6127.896389218345,48049.21605560032,45871.040004468545
2026-03-13 10:24:20,005930,6152.318718747119,39017.40852635214,45169.72724509926,17910.00999681952,0.0,2121.0008783314775,379.36987349060706,0.0,20410.380748641604,45169.72724509926,27259.71724827974
2026-03-13 10:24:20,005930,2038.3933697929024,29985.60099710396,32023.994366896863,17910.00999681952,0.0,2121.0008783314775,379.36987349060706,0.0,20410.380748641604,32023.994366896863,14113.984370077342
2026-03-13 10:24:20,005930,0.0,27106.112186606275,27106.112186606275,1378.5569233215754,0.0,2880.3912818817207,379.60774751151564,0.0,4638.555952714812,27106.112186606275,25727.5552632847
2026-03-13 10:27:20,005930,32114.837839111453,56753.05609330314,88867.89393241459,38768.60118154392,0.0,6863.690356717412,1465.5546143190163,0.0,47097.84615258034,88867.89393241459,50099.29275087067
2026-03-13 10:29:30,005930,0.0,28363.936273546424,28363.936273546424,2981.0083679729632,0.0,4010.070861126084,1389.5945311265668,0.0,8380.673760225614,28363.936273546424,25382.92790557346
2026-03-13 10:30:30,005930,61687.672494928585,78981.96813677321,140669.6406317018,38852.05233296545,0.0,7267.9463021744605,1869.916120239824,0.0,47989.91475537974,140669.6406317018,101817.58829873634
2026-03-13 10:33:10,005930,0.0,100531.80693511228,100531.80693511228,27.720024180249194,0.0,50.17482085563517,0.16124542893387592,0.0,78.05609046481824,100531.80693511228,100504.08691093203
