timestamp,symbol,realized_pnl,unrealized_pnl,total_pnl,commission_cost,tax_cost,slippage_cost,impact_cost,spread_cost,total_cost,gross_pnl,net_pnl
2026-03-17 09:00:00,267250,0.0,-54061.9140625,-54061.9140625,1484.409287109375,0.0,54358.875102136364,35757.25496292114,0.0,91600.53935216687,-54061.9140625,-55546.323349609374
2026-03-17 09:00:35,267250,-89766.38878475991,-24322.4609375,-114088.84972225991,13385.234975463467,0.0,32125.873443333574,9731.177735705493,0.0,55242.28615450254,-114088.84972225991,-127474.08469772337
2026-03-17 09:00:55,267250,-118490.08784752863,0.0,-118490.08784752863,10199.928508384817,0.0,73227.72351155433,9233.420244311455,0.0,92661.0722642506,-118490.08784752863,-128690.01635591345
2026-03-17 09:01:10,267250,7403149.557522124,0.0,7403149.557522124,14436.14163716814,0.0,23773.851175009688,15286.739499308664,0.0,53496.73231148649,7403149.557522124,7388713.415884956
2026-03-17 09:03:00,267250,0.0,-82058.57080227823,-82058.57080227823,2951.033785620342,0.0,82402.27133782234,63824.784490983555,0.0,149178.08961442625,-82058.57080227823,-85009.60458789858
2026-03-17 09:08:50,267250,-29834.39953155967,0.0,-29834.39953155967,38305.2621339779,0.0,58600.49067356191,40155.6792451387,0.0,137061.4320526785,-29834.39953155967,-68139.66166553757
2026-03-17 09:10:05,267250,0.0,-53916.0866390859,-53916.0866390859,2957.912412995863,0.0,20063.479024892993,35513.18545659119,0.0,58534.57689448005,-53916.0866390859,-56873.99905208177
2026-03-17 09:11:05,267250,-106552.77441764565,0.0,-106552.77441764565,38245.08345883181,0.0,52495.80039200474,34045.31750186227,0.0,124786.20135269882,-106552.77441764565,-144797.85787647747
2026-03-17 15:20:00,267250,0.0,-88546.68674698652,-88546.68674698652,2224.282003012048,0.0,329457.40397494583,61413.408717700695,0.0,393095.09469565854,-88546.68674698652,-90770.96874999857
2026-03-17 15:20:05,267250,0.0,-256621.74979868822,-256621.74979868822,758.4862594577554,0.0,45735.01293259907,12115.375308699435,0.0,58608.87450075626,-256621.74979868822,-257380.23605814597
2026-03-17 15:20:50,267250,-402874.8330081998,0.0,-402874.8330081998,37990.381487741455,0.0,71986.11100192352,53554.46775046612,0.0,163530.9602401311,-402874.8330081998,-440865.2144959413
