timestamp,symbol,realized_pnl,unrealized_pnl,total_pnl,commission_cost,tax_cost,slippage_cost,impact_cost,spread_cost,total_cost,gross_pnl,net_pnl
2026-03-17 09:00:00,010120,0.0,-21632.092198581668,-21632.092198581668,1480.3698138297875,0.0,21679.611610908447,15165.333002196512,0.0,38325.31442693475,-21632.092198581668,-23112.462012411455
2026-03-17 09:00:20,010120,-198476.1873979147,0.0,-198476.1873979147,38102.58659414854,0.0,51078.13187363438,38112.11462280541,0.0,127292.83309058833,-198476.1873979147,-236578.77399206324
2026-03-17 09:02:40,010120,0.0,-45052.50649832818,-45052.50649832818,2966.8578759747493,0.0,6054.359167873127,19096.00316260432,0.0,28117.2202064522,-45052.50649832818,-48019.364374302924
2026-03-17 09:02:55,010120,-71994.98006508686,-50793.46453768993,-122788.44460277678,20627.614920696324,0.0,12720.622825494747,5729.040497738267,0.0,39077.27824392934,-122788.44460277678,-143416.05952347312
2026-03-17 09:03:00,010120,-61068.81775590079,0.0,-61068.81775590079,17682.063061224486,0.0,10263.72258549892,4270.513962378108,0.0,32216.299609101512,-61068.81775590079,-78750.88081712527
2026-03-17 09:04:30,010120,0.0,-17601.13905325462,-17601.13905325462,2164.3651708579882,0.0,17622.63578128238,8111.03318467509,0.0,27898.03413681546,-17601.13905325462,-19765.50422411261
2026-03-17 09:04:35,010120,0.0,-19304.067115087295,-19304.067115087295,341.5804392092747,0.0,1704.2024911802143,203.07992818625837,0.0,2248.8628585757474,-19304.067115087295,-19645.64755429657
2026-03-17 09:05:25,010120,0.0,-21612.792630221462,-21612.792630221462,455.4463088272704,0.0,2310.4823422633335,308.9604401439294,0.0,3074.889091234533,-21612.792630221462,-22068.238939048733
2026-03-17 09:05:55,010120,-69965.76560297434,-16318.828785059624,-86284.59438803396,27996.789986572265,0.0,25625.98089947332,6659.893451333046,0.0,60282.664337378636,-86284.59438803396,-114281.38437460622
2026-03-17 09:06:00,010120,-15407.995040382259,0.0,-15407.995040382259,10331.30213414634,0.0,896.1898446153604,895.598300163469,0.0,12123.09027892517,-15407.995040382259,-25739.297174528598
2026-03-17 09:08:40,010120,0.0,-28877.992518703453,-28877.992518703453,2942.9816988778057,0.0,2878.414746410937,15901.397375482953,0.0,21722.793820771694,-28877.992518703453,-31820.974217581257
2026-03-17 09:11:25,010120,25877.736647964222,0.0,25877.736647964222,38309.223671875,0.0,23216.80140801465,10232.164442273299,0.0,71758.18952216294,25877.736647964222,-12431.487023910777
