episode,agent,is_bps,total_reward,remaining_shares,timestamp
30,TWAP,7.4064,-720272.527,0,2026-03-11T04:40:02.507366+00:00
31,TWAP,5.0986,-496854.5249,0,2026-03-11T04:40:02.507457+00:00
32,TWAP,5.0593,-495554.3286,0,2026-03-11T04:40:02.507545+00:00
33,TWAP,5.0554,-492144.7347,0,2026-03-11T04:40:02.507667+00:00
34,TWAP,5.1158,-501091.45,0,2026-03-11T04:40:02.507759+00:00
35,TWAP,5.2057,-508853.2347,0,2026-03-11T04:40:02.507848+00:00
36,TWAP,7.2413,-707840.6578,0,2026-03-11T04:40:02.507937+00:00
37,TWAP,4.1243,-402321.3418,0,2026-03-11T04:40:02.508024+00:00
38,TWAP,5.1408,-503029.3364,0,2026-03-11T04:40:02.508113+00:00
39,TWAP,5.9993,-586434.0276,0,2026-03-11T04:40:02.508203+00:00
40,TWAP,5.1141,-500925.8628,0,2026-03-11T04:40:02.508289+00:00
41,TWAP,5.11,-500521.6227,0,2026-03-11T04:40:02.508378+00:00
42,TWAP,1.9444,-189283.0874,0,2026-03-11T04:40:02.508465+00:00
43,TWAP,5.1139,-500903.1087,0,2026-03-11T04:40:02.508566+00:00
44,TWAP,5.0764,-497232.7451,0,2026-03-11T04:40:02.508653+00:00
45,TWAP,14.3694,-1407487.3462,0,2026-03-11T04:40:02.508741+00:00
46,TWAP,12.9894,-1265815.8141,0,2026-03-11T04:40:02.508827+00:00
47,TWAP,10.3373,-1012539.203,0,2026-03-11T04:40:02.508922+00:00
48,TWAP,5.1674,-503558.5388,0,2026-03-11T04:40:02.509009+00:00
49,TWAP,5.1105,-500572.8641,0,2026-03-11T04:40:02.509096+00:00
0,VWAP,5.0593,-495554.4813,0,2026-03-11T04:40:03.682540+00:00
1,VWAP,5.1962,-506889.9128,0,2026-03-11T04:40:03.682928+00:00
2,VWAP,5.4676,-535556.0441,0,2026-03-11T04:40:03.683064+00:00
3,VWAP,5.1152,-498480.5999,0,2026-03-11T04:40:03.683170+00:00
4,VWAP,5.1773,-506601.0268,0,2026-03-11T04:40:03.683264+00:00
5,VWAP,3.6405,-356583.2718,0,2026-03-11T04:40:03.683357+00:00
6,VWAP,10.1738,-987370.2814,0,2026-03-11T04:40:03.683444+00:00
7,VWAP,6.3625,-622566.2299,0,2026-03-11T04:40:03.683533+00:00
8,VWAP,6.7214,-655668.4,0,2026-03-11T04:40:03.683638+00:00
9,VWAP,7.6941,-749790.475,0,2026-03-11T04:40:03.683729+00:00
10,VWAP,4.9862,-489398.5134,0,2026-03-11T04:40:03.683816+00:00
11,VWAP,5.1104,-500560.1305,0,2026-03-11T04:40:03.683904+00:00
12,VWAP,5.462,-534460.7755,0,2026-03-11T04:40:03.683990+00:00
13,VWAP,5.6777,-552725.5824,0,2026-03-11T04:40:03.684076+00:00
14,VWAP,5.1788,-506747.5639,0,2026-03-11T04:40:03.684165+00:00
15,VWAP,5.1498,-502365.6418,0,2026-03-11T04:40:03.684251+00:00
16,VWAP,0.0267,-2612.1636,0,2026-03-11T04:40:03.684341+00:00
17,VWAP,5.069,-496513.2952,0,2026-03-11T04:40:03.684429+00:00
18,VWAP,5.5976,-545484.217,0,2026-03-11T04:40:03.684517+00:00
19,VWAP,5.6024,-549311.4262,0,2026-03-11T04:40:03.684620+00:00
20,VWAP,5.1795,-506811.219,0,2026-03-11T04:40:03.684709+00:00
21,VWAP,3.5053,-342817.6145,0,2026-03-11T04:40:03.684797+00:00
22,VWAP,5.1095,-500470.6561,0,2026-03-11T04:40:03.684885+00:00
23,VWAP,5.1347,-500886.1335,0,2026-03-11T04:40:03.684974+00:00
24,VWAP,5.1506,-502438.6162,0,2026-03-11T04:40:03.685060+00:00
25,VWAP,16.6833,-1634131.2059,0,2026-03-11T04:40:03.685151+00:00
26,VWAP,7.0897,-690183.8448,0,2026-03-11T04:40:03.685239+00:00
27,VWAP,8.6207,-844400.6906,0,2026-03-11T04:40:03.685352+00:00
28,VWAP,5.2541,-513585.9575,0,2026-03-11T04:40:03.685455+00:00
29,VWAP,5.1173,-501236.281,0,2026-03-11T04:40:03.685560+00:00
30,VWAP,8.3359,-815663.86,0,2026-03-11T04:40:03.685649+00:00
31,VWAP,5.1335,-501288.4855,0,2026-03-11T04:40:03.685735+00:00
32,VWAP,5.1272,-502723.318,0,2026-03-11T04:40:03.685821+00:00
33,VWAP,7.8814,-764892.6874,0,2026-03-11T04:40:03.685909+00:00
34,VWAP,5.5284,-538737.9269,0,2026-03-11T04:40:03.685994+00:00
35,VWAP,1.1705,-114535.4379,0,2026-03-11T04:40:03.686084+00:00
36,VWAP,5.1006,-499606.8842,0,2026-03-11T04:40:03.686172+00:00
37,VWAP,5.135,-500914.9258,0,2026-03-11T04:40:03.686259+00:00
38,VWAP,7.5214,-731454.7688,0,2026-03-11T04:40:03.686349+00:00
39,VWAP,5.1642,-503765.9031,0,2026-03-11T04:40:03.686436+00:00
40,VWAP,-2.188,213873.0646,0,2026-03-11T04:40:03.686528+00:00
41,VWAP,10.8129,-1051550.19,0,2026-03-11T04:40:03.686627+00:00
42,VWAP,5.2568,-515426.7208,0,2026-03-11T04:40:03.686714+00:00
43,VWAP,12.668,-1233228.4315,0,2026-03-11T04:40:03.686803+00:00
44,VWAP,5.228,-512080.22,0,2026-03-11T04:40:03.686891+00:00
45,VWAP,5.1971,-506974.5918,0,2026-03-11T04:40:03.686976+00:00
46,VWAP,15.5253,-1512944.8732,0,2026-03-11T04:40:03.687070+00:00
47,VWAP,5.071,-496198.8372,0,2026-03-11T04:40:03.687160+00:00
48,VWAP,8.0447,-786370.5218,0,2026-03-11T04:40:03.687248+00:00
49,VWAP,3.8663,-377157.1065,0,2026-03-11T04:40:03.687338+00:00
0,Aggressive,5.6077,-548709.206,0,2026-03-11T04:40:04.294964+00:00
1,Aggressive,6.5782,-643678.1609,0,2026-03-11T04:40:04.295537+00:00
2,Aggressive,10.6894,-1043290.0433,0,2026-03-11T04:40:04.295689+00:00
3,Aggressive,5.3526,-522148.3942,0,2026-03-11T04:40:04.295794+00:00
