resample_freq,elapsed_s,n_states,n_fills,fill_rate,net_pnl,is_bps,annualized_turnover,cancel_rate,sharpe_ratio,max_drawdown,avg_slippage_bps,total_commission
5s,55.02,4173.0,53.0,1.9094630387671563,129890233.18503375,2.163615398767979,71.03527813780875,0.9845119812974868,5.384726159944701,0.9999806480173402,-0.2579718881473117,1493845.5143161514
10s,10.7,2087.0,110.0,1.1821082341391582,16068968.073775338,1.0145391375758623,41.080063862488934,0.8186356073211315,1.2356780929793627,0.9999754732073822,0.3226944980607892,1850395.195886696
30s,1.72,697.0,1.0,0.3333333333333333,-4555.838380234947,-13.265138337746617,24.89206768629227,0.9984152139461173,0.0,0.0,-7.812375650516338,1482.3560223536822
