scenario,resample,strategy,n_seeds,n_fills_mean,n_fills_std,total_realized_pnl_mean,total_realized_pnl_std,total_unrealized_pnl_mean,total_unrealized_pnl_std,net_pnl_mean,net_pnl_std,total_commission_mean,total_commission_std,total_slippage_mean,total_slippage_std,total_impact_mean,total_impact_std,sharpe_ratio_mean,sharpe_ratio_std,sortino_ratio_mean,sortino_ratio_std,calmar_ratio_mean,calmar_ratio_std,max_drawdown_mean,max_drawdown_std,max_drawdown_duration_mean,max_drawdown_duration_std,annualized_vol_mean,annualized_vol_std,var_95_mean,var_95_std,expected_shortfall_95_mean,expected_shortfall_95_std,fill_rate_mean,fill_rate_std,cancel_rate_mean,cancel_rate_std,is_bps_mean,is_bps_std,vwap_diff_bps_mean,vwap_diff_bps_std,avg_slippage_bps_mean,avg_slippage_bps_std,avg_market_impact_bps_mean,avg_market_impact_bps_std,timing_score_mean,timing_score_std,partial_fill_rate_mean,partial_fill_rate_std,maker_fill_ratio_mean,maker_fill_ratio_std,avg_latency_ms_mean,avg_latency_ms_std,annualized_turnover_mean,annualized_turnover_std,avg_holding_period_mean,avg_holding_period_std,iqm_return_mean,iqm_return_std,llm_call_count_mean,llm_call_count_std,llm_error_count_mean,llm_error_count_std,llm_error_rate_mean,llm_error_rate_std,estimated_llm_cost_mean,estimated_llm_cost_std,avg_llm_latency_ms_mean,avg_llm_latency_ms_std
samsung_0313,5s,micro_alpha,1,54.0,0.0,118321232.6219394,0.0,7507214.058258886,0.0,124220558.5170867,0.0,1607888.1631115975,0.0,857947.8515889015,0.0,1040738.229525873,0.0,5.077207147903834,0.0,874.6402335093436,0.0,590669883.1521289,0.0,0.9999833154450604,0.0,9.0,0.0,116335617.37418398,0.0,118741.18674669862,0.0,142804.7484788994,0.0,1.9654708520179371,0.0,0.9840472673559822,0.0,7.087869223514166,0.0,5.855510791063662,0.0,4.1197360662044025,0.0,5.593623477014904,0.0,0.4074074074074074,0.0,0.0,0.0,0.0,0.0,1.5108158880498626,0.0,77.52792854528428,0.0,4165.0,0.0,2.9347266042013342,0.0,,,,,,,,,,
samsung_0313,5s,llm_alpha,1,49.0,0.0,78928224.49415083,0.0,-1489410.82565158,0.0,76177878.28666562,0.0,1260935.3818336304,0.0,663289.4676202178,0.0,743412.0621346931,0.0,4.54153333959406,0.0,253.96155968271358,0.0,400033242.1943665,0.0,0.999824516941363,0.0,27.0,0.0,88067842.56112497,0.0,277402.06672708614,0.0,323688.2316033393,0.0,1.8202692003167062,0.0,0.9735278227984873,0.0,6.275171587404242,0.0,19.032201774297505,0.0,2.8106259562958282,0.0,4.847833481510688,0.0,0.6326530612244898,0.0,0.002701242571582928,0.0,0.0,0.0,1.5315665662999254,0.0,66.46396497302707,0.0,4165.0,0.0,2.0985964211417176,0.0,1985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05394060467311207,0.0
